setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_corpus,corpus_sha
regime2_a1_baseline_explain,explain,5ae4c01e55429913cc2044f3,hard,bridge,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,32668 47179,32668 8118 8167 53175 12871,Kieft,"[1] states that Kieft's War involved attacks by Dutch soldiers against Lenape camps, resulting in massacres and unification among the Lenape tribes. [1] mentions that Dutch soldiers attacked Lenape camps and massacred the natives, leading to increased attacks on both sides. [1] also notes that Kieft's actions led to the recall of the Dutch West India Company and his death. Answer: Kieft",1,1044,88,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a89fea655429970aeb701eb,hard,bridge,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,19306 42935,42935 19306 48540 28052 17232,The Outsiders,"Sentence 1: Nightmares (1983 film). Nightmares is a 1983 American horror anthology film directed by Joseph Sargent, and starring Emilio Estevez, Lance Henriksen, Cristina Raines, Veronica Cartwright, and Richard Masur.
Sentence 2: Emilio Estevez ( ; born May 12, 1962) is an American actor, director, and writer. He started his career as an actor and is well known for being a member of the acting Brat Pack of the 1980s, starring in ""The Breakfast Club"", ""St. Elmo's Fire"", and also acting in the 1983 hit movie ""The Outsiders"".
Connection: Emilio Estevez starred in ""The Outsiders"" in the same year as Nightmares (1983).
Answer: The Outsiders",1,861,181,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a80cf4c55429938b61421f6,hard,bridge,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,13578 19658,19658 24717 49681 16171 5002,"personal injury, litigation, criminal defense, and collections","Sentence 1: Eric S. Pistorius used to be an attorney at law for his law firm.
Sentence 2: His law firm specialized in the areas of: personal injury, litigation, criminal defense, and collections.
Sentence 3: After being an attorney, Eric S. Pistorius became a Circuit court Judge of the Seventh Circuit of Illinois.
Connecting the useful passages into a chain of reasoning:
Eric S. Pistorius, who was once an attorney, later transitioned into a judicial role.
Answer: personal injury, litigation, criminal defense, and collections",1,753,116,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a89b1de5542992e4fca8378,hard,bridge,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,34959 56444,34959 34689 56444 34961 33234,Keelung,"Sentence 1: [1] states that the Lingnan Fine Arts Museum is in Nangang District, Taipei, Taiwan.
Sentence 2: [3] provides information that Taipei is about 25 km southwest of the northern port city Keelung.
Connection: Since the museum is in Taipei and Keelung is approximately 25 km north of Taipei, we can conclude that Keelung is the port city mentioned.
Answer: Keelung",1,868,93,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a8778d25542994846c1cd89,hard,comparison,Has Stefan Edberg won more events than Édouard Roger-Vasselin?,yes,55068 66512,66512 55068 18598 8407 2506,six Grand Slam men's doubles titles,"[1] states that Édouard Roger-Vasselin is a French male tennis player who won the men's doubles title at Roland Garros in 2014.
[2] provides information about Stefan Edberg, mentioning he won six Grand Slam singles titles and three Grand Slam men's doubles titles between 1985 and 1996.
[2] helps answer the question by providing details about Edberg's achievements, including winning multiple Grand Slam titles.
Answer: six Grand Slam men's doubles titles",1,670,108,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a77897f55429949eeb29edc,hard,bridge,"Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,21178 65849,65849 27291 21210 54111 26214,Fix You,"Sentence 1: Jason Regler stated that he had the idea for the flashing wristbands while at a Coldplay concert, during the song ""Fix You"".
Sentence 2: ""I Miss You"" is a song by American rock band Blink-182, released on February 9, 2004.
Answer: Fix You",1,988,70,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae0132d55429925eb1afc00,hard,bridge,The Soul of Buddha is a 1918 American silent romance film shot in a borough that is the western terminus of what?,the George Washington Bridge,21553 59593,59593 3599 21553 45798 45797,"[1] states that The Soul of Buddha was filmed in Fort Lee, New Jersey. [3] mentions that Fort Lee is the western terminus of the George Washington Bridge. Therefore, the answer is: the George Washington Bridge.","[1] states that The Soul of Buddha was filmed in Fort Lee, New Jersey. [3] mentions that Fort Lee is the western terminus of the George Washington Bridge. Therefore, the answer is: the George Washington Bridge.",0,870,47,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a7129685542994082a3e5fa,hard,bridge,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,9508 63550,9508 63550 48975 13266 20361,Chris Weidman,"Sentence 1: [1] states that Eddie Alvarez is a former UFC lightweight champion.
Sentence 2: [4] states that Chris Weidman is the former UFC Middleweight Champion.
Connection: Since Eddie Alvarez is not mentioned in the current Ultimate Fighting Championship division, and Chris Weidman is the current Middleweight Champion, the answer is found in [4].
Answer: Chris Weidman",1,718,81,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae762835542997b22f6a711,hard,bridge,"Were was the Mexican state after which there is Villa Unión, Sinaloa located?",tip of the Baja California,39024 63374,63374 63372 63371 63373 3901,Coahuila,"[1] Villa Unión is the second largest town in the municipality of Mazatlán, after the port of Mazatlán. It is located twenty kilometers south of the city on the banks of the Presidio River.
[2] Villa Unión, Coahuila. Villa Unión is a city and seat of the municipality of Villa Unión, in the north-eastern Mexican state of Coahuila.
Answer: Coahuila",1,333,90,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae2f5b955429928c423957e,hard,bridge,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language,8700 61735,8700 61735 8701 8705 45394,Tugurt,"[1] states that Berber languages are written with the ancient Libyco-Berber script, which evolved into Tifinagh. [2] mentions that Tugurt language, closely related to Tumzabt and Teggargrent, was traditionally written with the same script.
Answer: Tugurt",1,1045,66,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a81018755429938b6142287,hard,bridge,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q,12605 47871,12605 53163 18254 30873 43124,Q-ships,"[1] states that Charles Fraser-Smith, a one-time missionary, inspired Ian Fleming's James Bond quartermaster Q. [4] mentions Q as the head of a British Secret Service division, specifically MI6.
Answer: Q-ships",1,738,49,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae7b271554299540e5a564d,hard,bridge,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002,43442 43443,37094 37095 43442 57540 59680,2006,"[1] states that Lyra Belacqua is the heroine of Philip Pullman's ""His Dark Materials"" trilogy, set in a parallel universe.
[3] mentions that ""Northern Lights"" is a young-adult fantasy novel by Philip Pullman, set in a parallel universe, featuring Lyra Belacqua.
[4] introduces ""The Book of Dust"" as a companion trilogy to ""His Dark Materials"" and set 10 years before ""Northern Lights"".
Connecting these:
Since ""Northern Lights"" is set in a parallel universe featuring Lyra Belacqua and is part of the ""His Dark Materials"" series, and given that ""The Book of Dust"" is set 10 years before ""Northern Lights"", we can infer that ""The Book of Dust"" would also take place in a parallel universe.
Answer: 2006",1,608,174,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a89a74e554299669944a562,hard,bridge,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker,30905 30906,30905 30906 30904 41118 41116,Oliver Parker,"Sentence 1: [1] Johnny English (film series) states that Johnny English is a British series of action comedy film parodying the James Bond secret agent genre.
Sentence 2: [1] mentions that Johnny English is infused with comedy similar to Atkinson's Mr. Bean character.
Sentence 3: [2] Johnny English Reborn is a 2011 British action comedy film parodying the James Bond secret agent genre.
Sentence 4: [2] states that the film is the sequel to ""Johnny English"" (2003).
Sentence 5: [3] Johnny English is a 2003 British-American spy comedy film parodying the James Bond secret agent genre infused with comedy similar to Atkinson's Mr. Bean character.
Connecting the useful passages: From [3], we know that Johnny English was directed by Peter Howitt. From [2], we learn that Johnny English Reborn is the sequel to Johnny English and was directed by Oliver Parker.
Answer: Oliver Parker",1,716,206,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5adcceda5542990d50227d31,hard,comparison,George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer,22942 31413,22942 31413 55169 19222 6421,British,"Sentence 1: [1] states that George Gershwin was an American composer.
Sentence 2: [2] indicates that Judith Weir is a British composer.
Connection: From these two passages, we can deduce the nationalities of the composers mentioned.
Answer: British",1,771,57,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a7518cb55429916b0164259,hard,bridge,What Was the name of Juan Manuel Márquez's WBO champion holding younger brother?,Rafael Márquez,31374 48246,48246 31374 31373 31292 31375,Rafael Márquez,"Sentence 1: Rafael Márquez (boxer). Rafael Márquez Méndez (born 25 March 1975) is a Mexican former professional boxer who competed from 1995 to 2013.
Answer: Rafael Márquez
Sentence 2: Juan Manuel Márquez. Juan Manuel Márquez Méndez (born August 23, 1973) is a Mexican former professional boxer who competed from 1993 to 2014.
Connection: Juan Manuel Márquez is the brother of Rafael Márquez.
Final Answer: Rafael Márquez",1,1126,134,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ab9180b5542991b5579f0f3,hard,bridge,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea,32755 50795,50795 32755 32754 61764 32757,South Korea,"Sentence 1: [1] Running Man Brothers is a South Korean pop duo, which is named after the South Korean television show ""Running Man"".
Sentence 2: [2] Kim Jong-kook (singer). Kim Jong-kook (Hangul: 김종국; Hanja: 金鐘國; born 25 April 1976) is a South Korean singer, actor and TV personality.
Chain of reasoning:
[1] states that Running Man Brothers is a South Korean pop duo.
[2] confirms that Kim Jong-kook is a South Korean singer.
Answer: South Korea",1,590,125,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5abb326055429966062416e7,hard,bridge,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds,24304 50709,50709 14629 24304 50973 60460,"Bury St Edmunds, Suffolk","[1] states that Ruddles Brewery is now owned by Greene King. [3] mentions that Greene King is the UK's largest pub retailer and brewer, based in Bury St Edmunds, Suffolk, England.
Connecting the useful passages:
Greene King, which owns Ruddles Brewery, is based in Bury St Edmunds, Suffolk.
Answer: Bury St Edmunds, Suffolk",1,721,80,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a8ef1e35542995a26add57a,hard,bridge,The creator of the Lisa Simpson character was born in what year?,1954,35034 38787,35034 38028 65973 7953 26540,1964,"Sentence 1: Lisa Marie Simpson is a fictional character in the animated television series ""The Simpsons"".
Sentence 2: Cartoonist Matt Groening created and designed her while waiting to meet James L. Brooks.
Connection: Matt Groening created Lisa Simpson and waited to meet James L. Brooks.
Answer: 1964",1,943,66,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5adf03b35542993a75d263d3,hard,bridge,Where is the international airport which Eagle Aviation wet lease operations were based in located,France.,12696 18322,18322 25308 64240 34720 62110,4700,"[1] states that Eagle Aviation France had wet lease operations based in Paris at Charles de Gaulle Airport.
[2] provides information about Hartsfield–Jackson Atlanta International Airport, which is the world's busiest airport by passenger traffic.
[2] mentions that Hartsfield–Jackson Atlanta International Airport is located 7 miles south of Atlanta's central business district in Georgia.
Connecting the useful passages:
Eagle Aviation France's wet lease operations were based in Paris, specifically at Charles de Gaulle Airport.
Answer: 4700",1,797,109,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a88d745554299206df2b378,hard,comparison,What occupation was shared by David Yates and Pietro Germi?,director,16291 46496,46496 46149 16291 46150 19520,filmmaker,"Sentence 1: Pietro Germi was an Italian actor, screenwriter, and director.
Sentence 2: David Yates is an English filmmaker who has directed feature films, short films, and television productions.
Connection: Both David Yates and Pietro Germi were involved in filmmaking as directors.
Answer: filmmaker",1,509,63,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ab3bacc55429969a97a8197,hard,bridge,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ?,Noel Gallagher,16581 17575,50047 43776 35439 16580 16581,Noel Gallagher,"[1] states ""Rock 'n' Roll Star"" was an opening track from Oasis's debut album ""Definitely Maybe"".
[4] confirms ""Definitely Maybe"" was Oasis's debut studio album.
[5] mentions the tour supporting ""Definitely Maybe"" and includes an acoustic debut of ""Don't Look Back in Anger"" in Tony McCarroll's last concert.
Connecting these:
Since ""Rock 'n' Roll Star"" was from ""Definitely Maybe"" and ""Don't Look Back in Anger"" was the acoustic debut in Tony McCarroll's last concert, we can deduce that the lead vocalist for ""Don't Look Back in Anger"" was Noel Gallagher, given his role as lead guitarist and vocalist in Oasis.
Answer: Noel Gallagher",1,889,157,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a7f244255429934daa2fcec,hard,bridge,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?","Grammar, logic, and rhetoric",34702 54688,54688 54687 57046 18069 15962,Jesuit tradition,"[1] states that St. John's College is a Roman Catholic institution in the Jesuit tradition, offering liberal arts and science courses.
Answer: Jesuit tradition",1,755,33,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ac39f7b554299218029dbe7,hard,bridge,Robert Earl Holding owned an oil company that was originally founded by who?,Harry F. Sinclair,49803 53371,49803 46308 49825 50635 53371,Harry F. Sinclair,"[1] states Robert Earl Holding owned Sinclair Oil Corporation. [5] provides Sinclair Oil Corporation was founded by Harry F. Sinclair on May 1, 1916.
Answer: Harry F. Sinclair",1,754,43,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a810d7655429903bc27b915,hard,bridge,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",bass,32945 63094,32945 52183 59874 26129 11618,guitar,"Sentence 1: Kissed It is a song by Macy Gray featuring Slash, Duff McKagan and Matt Sorum.
Sentence 2: Sentence 1 mentions that Duff McKagan is part of the group that performed on Kissed It.
Connection: Duff McKagan is part of the group that performed on Kissed It, which includes Slash and Matt Sorum.
Answer: guitar",1,854,79,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae4cb2f55429960a22e01e8,hard,bridge,Which American popular music and country music singer recorded J. D. Souther song,Linda Maria Ronstadt,28629 34924,28629 53996 25042 62308 58561,Bobby Bare,"Sentence 1: J. D. Souther is an American singer and songwriter who has written songs for Linda Ronstadt and the Eagles.
Sentence 2: Song of the South is a song written by J. D. Souther.
Connection: J. D. Souther wrote ""Song of the South"" which was first recorded by Bobby Bare.
Answer: Bobby Bare",1,817,75,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5adf1c3f5542993a75d263ec,hard,bridge,In which six Western European territories have Celtic languages or cultural traits survived?,"Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.",12300 45131,12300 14567 28074 19499 43309,Celtic nations,"Sentence 1: The Celtic nations are territories in western Europe where Celtic languages or cultural traits have survived.
Answer: Celtic nations",1,693,25,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ab61140554299110f2199d7,hard,bridge,Who is known for composing American Beauty: Original Motion Picture Score and many other film scores?,Thomas Montgomery Newman,5266 60317,5266 5264 5262 5263 55169,Thomas Newman,"Sentence 1: [1] states that American Beauty: Original Motion Picture Score is composed by Thomas Newman.
Sentence 2: [1] directly answers the question about who composed the film score.
Answer: Thomas Newman",1,662,44,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a738fe855429908901be2fb,hard,bridge,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake,7261 51441,51441 24970 34878 10929 38590,Bugsy,"[4] Bugsy. Bugsy is a 1991 American crime-drama film directed by Barry Levinson which tells the story of mobster Bugsy Siegel and his relationship with Virginia Hill. It stars Warren Beatty as Siegel and Annette Bening as Hill, as well as Harvey Keitel, Ben Kingsley, Elliott Gould, and Joe Mantegna. The screenplay was written by James Toback from research material by Dean Jennings' 1967 book ""We Only Kill Each Other"".
[1] Samuel Sim. Samuel Sim is a film and television composer. He first gained recognition with his award winning score for the BBC drama series ""Dunkirk"". Since then he has written the music for a wide variety of film and television productions, most recently scoring the film ""Awake"" for The Weinstein Company and the BBC/HBO drama series ""House of Saddam"".
Answer: Bugsy",1,770,187,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5adcc3ed5542994d58a2f6c4,hard,bridge,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?","the ""First Family of Competitive Eating""",11793 41942,49266 11793 14046 9205 48182,None,"[1] states that Rich LeFevre and Carlene LeFevre are known as the ""First Family of Competitive Eating"". However, there is no mention of them forming a group in Brooklyn, New York City.
Answer: None",1,1059,49,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae5ffbb5542996de7b71ad4,hard,bridge,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",Argentinian,31378 39759,39759 31378 1744 31379 5722,Argentine,"[1] states that Michaël Llodra is a French former professional tennis player.
[2] provides information about Juan Martín del Potro, an Argentinian professional tennis player.
[4] gives del Potro's career statistics, confirming he is Argentine.
Connecting these:
Since Llodra is French and del Potro is Argentine, we can conclude that Llodra defeated del Potro.
Answer: Argentine",1,872,86,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae357745542992f92d8229b,hard,bridge,What company produced the 1978 movie based on a book written by a radio playwright and children's book author born in 1900?,Walt Disney Productions,12681 59568,28641 58657 24201 12681 22908,Bronte Woodard,"[4] states that Charles Tazewell was a radio playwright and children's book author born in 1900. [3] mentions Grease, a 1978 film based on a musical, which was written by Bronte Woodard. Therefore, the company that produced Grease was Bronte Woodard.
Answer: Bronte Woodard",1,792,75,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae200655542994d89d5b2f4,hard,bridge,How many students were enrolled in American professional bowler Chris Barnes' high school in the 2010-2011 school year?,"1,840 students",13183 61104,13183 25236 7108 32327 4355,Not enough information,"[1] states that Chris Barnes attended Topeka High School. There is no information about enrollment numbers for any specific year.
To answer the question, we would need additional data not provided in the given passages.
Answer: Not enough information",1,943,48,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5adf430e5542993a75d2645e,hard,comparison,"Which canal, Miami Canal or Dundee Canal, also supplies hydro-power and water for manufacturing?",Dundee Canal,18128 39551,18128 39551 39565 47198 18670,Dundee Canal,"Sentence 1: [1] The Dundee Canal supplied hydropower and water for manufacturing.
Sentence 2: [1] does not mention hydro-power, only water and hydropower for manufacturing.
Connecting: Therefore, the Dundee Canal is the canal that supplies hydro-power and water for manufacturing.
Answer: Dundee Canal",1,811,67,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
