qid,qtype,gold_depth
5ae151985542990adbacf74d,comparison,2
5abdba405542993f32c2a023,bridge,2
5a80721b554299485f5985ef,bridge,7
5ab41677554299753aec5a38,bridge,5
5adcf37e5542994ed6169c37,bridge,5
5ae33fa95542990afbd1e0f2,comparison,2
5aba510f5542994dbf0198d6,bridge,2
5a7d1765554299452d57bade,bridge,7
5ae0536755429924de1b70a6,comparison,2
5abcf84d55429959677d6b86,bridge,2
5ab5c8c5554299637185c60d,comparison,2
5ac0714f554299294b218fe1,bridge,3
5adcdea85542992c1e3a2441,bridge,5
5ac257fe55429951e9e68562,comparison,2
5ae8242455429952e35eaa54,bridge,2
5adfd56655429925eb1afaac,bridge,8
5ae0f5fc554299422ee9957c,bridge,2
5ae5d63b5542996de7b71a2d,bridge,2
5ab29caa554299545a2cf9d3,bridge,2
5a7c76275542990527d554b4,comparison,2
5a737fff554299623ed4abb9,bridge,2
5a8051265542992bc0c4a6f8,bridge,8
5a89a13c55429946c8d6e97a,bridge,5
5ab8854555429934fafe6e0c,bridge,2
5ab865ad5542992aa3b8c8dd,bridge,3
5a83305d55429966c78a6b4a,comparison,3
5a821c95554299676cceb219,bridge,9
5abe8aad55429976d4830b60,comparison,2
5a82ffe755429940e5e1a949,bridge,2
5abd516a5542992ac4f3825c,bridge,5
5a7323ef5542994cef4bc477,comparison,2
5ae738f75542991bbc9761c4,bridge,4
5a89fc665542993b751ca9de,bridge,2
5abe91895542993f32c2a168,comparison,2
5ab3ede755429976abd1bcf4,bridge,5
5adfec5f55429942ec259b8d,comparison,2
5ac2660d55429951e9e685a1,bridge,3
5ab6a3a3554299710c8d1f0d,bridge,2
5a75eda35542994ccc918661,bridge,3
5abb8ebe5542993f40c73b2d,bridge,2
5a8318955542990548d0b177,bridge,2
5a81cb2c5542990a1d231ec4,bridge,2
5a8ec7cc5542995a26add518,comparison,3
5abd9c2355429924427fd06c,bridge,4
5adeab4555429975fa854f5f,bridge,3
5a82360055429903bc27ba46,bridge,9
5abacac45542996cc5e49e94,bridge,9
5adf24155542992d7e9f92af,bridge,5
5a825da055429954d2e2eb17,bridge,2
5ae4f3c455429960a22e0221,bridge,9
5a855ca15542992a431d1b12,bridge,2
5ab23d8a55429970612095c9,bridge,9
5a74106b55429979e288289e,bridge,5
5a792f3e554299029c4b5f20,bridge,8
5ab42d6055429942dd415eb0,bridge,3
5ae5fa38554299546bf82ff1,bridge,2
5ade007e5542997545bbbdf4,bridge,4
5ac4e13f554299076e296e2d,bridge,3
5ab5dcb95542992aa134a3b3,comparison,3
5a8d42c95542994ba4e3dc43,bridge,2
5ab70f79554299110f219aa9,bridge,9
5ae7b001554299540e5a5645,bridge,5
5a8ac0595542992d82986f6c,bridge,3
5a7cfb2755429907fabef084,bridge,4
5a802e135542992bc0c4a6c7,bridge,3
5ae47dd95542995ad6573d57,bridge,4
5a7c68575542996dd594b91c,bridge,4
5a8e07185542995085b37389,bridge,2
5ae4f2595542990ba0bbb1a8,bridge,5
5ae72e5d5542991e8301cba8,bridge,9
5a8a48ee55429930ff3c0d66,bridge,3
5ab7f3285542992aa3b8c88f,bridge,2
5a77a65b5542992a6e59df57,bridge,2
5ade1f1c55429939a52fe82d,bridge,2
5a86b13f55429960ec39b6c3,bridge,2
5ab56f3e5542992aa134a317,comparison,2
5a8126265542995ce29dcbc9,bridge,3
5a7349125542994cef4bc505,bridge,2
5a8b99a45542997f31a41d7f,bridge,10
5ae26197554299495565da51,bridge,2
5ab92e02554299753720f775,bridge,4
5abc715f5542993a06baf8ea,bridge,3
5abc089b5542993f40c73c57,bridge,4
5adf734b5542995ec70e9016,bridge,6
5a7309a15542992359bc320c,bridge,2
5ab8f7535542991b5579f0a7,comparison,2
5ab55455554299488d4d993b,bridge,2
5ae644c55542992663a4f27e,bridge,3
5a7c74a65542990527d554b0,comparison,2
5ae406f055429970de88d874,bridge,2
5a7e4414554299495941995c,bridge,2
5ac036b95542992a796deccd,bridge,6
5ab4147a5542996a3a969f1e,bridge,8
5a8c8828554299653c1aa0ae,bridge,2
5a823f61554299676cceb234,comparison,2
5abed4d55542990832d3a0e0,comparison,2
5abbb42555429931dba144af,comparison,2
5ab2f50a55429929539468cd,bridge,3
5a8781b65542993e715abf8f,comparison,2
5aba6d4b5542994dbf019906,bridge,2
5ab42b8955429942dd415ea6,bridge,5
5ae684925542995703ce8b71,bridge,3
5ab80e1455429916710eafd7,bridge,5
5a7f7c285542994857a76746,bridge,2
5a84de5f5542991dd0999e07,bridge,2
5a8a3a355542996c9b8d5e5e,bridge,5
5a80ad205542992bc0c4a79d,bridge,10
5ae0616255429924de1b70ca,comparison,2
5ac4e03f5542995c82c4ad75,bridge,3
5adfc9a555429906c02daa42,bridge,3
5adccd795542990d50227d2c,bridge,2
5a8f64605542992414482aaa,comparison,2
5ae60530554299546bf8301e,bridge,2
5add433b5542997545bbbd02,bridge,2
5ae2fca555429928c423958a,bridge,3
5a82c51055429966c78a6a8d,bridge,3
5a88e3cc5542997e5c09a6c2,bridge,2
5abb07e95542992ccd8e7ec4,bridge,2
5a7414d855429929fddd83db,bridge,2
5ab8337a55429919ba4e225f,comparison,2
5a835b88554299123d8c2101,bridge,6
5a81dacc55429926c1cdada0,bridge,2
5ae0345855429924de1b705f,bridge,2
5a8d02cc554299441c6b9fb6,bridge,7
5ab442645542991751b4d70c,bridge,4
5a8b45765542995d1e6f1333,bridge,3
5ab47e0a5542990594ba9c32,bridge,8
5a77aa8655429949eeb29f22,bridge,8
5a73f4f75542993a88ae2ebc,bridge,2
5a8b7d7d5542997f31a41d4b,bridge,3
5ae60dcc554299546bf83043,bridge,10
5ab71f7d554299110f219ab9,bridge,2
5ade858a55429975fa854eea,comparison,2
5ac4920d5542996feb3fe8d3,bridge,2
5a7c2819554299683c1c62db,bridge,2
5a80956e5542996402f6a579,bridge,2
5ae5f9b355429929b0807a4b,bridge,2
5ae1bf46554299234fd042e6,comparison,2
5ae655845542991bbc9760c3,bridge,2
5a77e70f5542992a6e59dfeb,bridge,3
5ae400ab5542995dadf242be,comparison,2
5a8f93f5554299458435d67e,bridge,3
5a8a4b9955429930ff3c0d88,bridge,5
5a83d0845542996488c2e4e6,bridge,4
5a7cd28c554299452d57ba80,bridge,4
5ae5a8435542992663a4f208,bridge,2
5a89810655429946c8d6e929,bridge,6
5a88bd1d554299206df2b357,bridge,2
5a7652785542992db9473760,comparison,3
5ae5aba0554299546bf82f17,bridge,5
5ab42f3c55429942dd415ebc,bridge,2
5a828c3355429940e5e1a8f0,bridge,4
5abf1a6b5542997ec76fd3c1,bridge,3
5ae3b1ba5542992f92d82343,bridge,9
5adfc8f45542992d7e9f93d0,bridge,3
5ab55e015542992aa134a2d3,bridge,2
5ae7909f5542994a481bbda6,bridge,4
5a88401c5542994846c1ce60,bridge,10
5a8799c55542996e4f308877,bridge,2
5adcaa7f5542990d50227cdb,bridge,2
5ae6179b5542992663a4f25b,bridge,4
5ae5b06e554299546bf82f2a,bridge,9
5aba89365542994dbf019932,bridge,7
5ade982f554299728e26c753,bridge,4
5ac401bb55429919431738f4,bridge,10
5a8a07725542992d82986e5b,bridge,5
5a7b55bc55429927d897bf98,bridge,2
5a769b115542993569682c51,bridge,10
5ae5736e5542990ba0bbb2b3,bridge,2
5ae2125e554299495565d9db,bridge,3
5adfc06d55429906c02daa2a,bridge,3
5a7b22f8554299042af8f6ff,bridge,3
5a72aec45542994cef4bc3d7,comparison,2
5ab8a7f65542991b5579efca,bridge,10
5ae2c4d75542991a06ce98d0,comparison,2
5ac11139554299294b219083,bridge,2
5a8a09ff5542992d82986e6b,bridge,7
5ab5052a5542990594ba9ccf,bridge,5
5a775bab5542994aec3b72a8,bridge,2
5ae4eb9255429908b63264ba,bridge,2
5a8a57fe55429930ff3c0da0,bridge,2
5a8ce851554299441c6b9f6c,bridge,7
5a7e31c055429934daa2fbee,comparison,2
5ae4d1a355429913cc204513,bridge,3
5ae763aa5542995703ce8c09,bridge,3
5ae72b96554299572ea5474e,bridge,4
5adfee9c55429906c02daa8a,bridge,3
5ab8ee805542991b5579f051,bridge,10
5a7a06525542990198eaf04f,comparison,2
5a732aaa5542992359bc325a,bridge,10
5a7a70b355429941d65f2647,comparison,2
5ab928c255429934fafe6e6e,bridge,2
5ab58ee6554299488d4d99d6,bridge,7
5a79ad485542994bb9457036,bridge,2
5a7d2b5755429907fabef0c2,bridge,5
5a8838635542997e5c09a5a9,bridge,3
5a7fa5b05542994857a7679b,bridge,3
5a7df1095542990b8f503afe,comparison,2
5a74b4dc55429979e2882a00,bridge,10
5a77c58b55429967ab105281,comparison,2
5abe407155429976d4830ab4,comparison,2
5a8e42d15542995a26add4a6,comparison,2
5a8888e35542997e5c09a5f6,bridge,4
5a77ddb855429967ab1052d8,bridge,2
5a832fdd55429954d2e2ec4f,bridge,2
5a7dbf4e5542990b8f503a68,bridge,2
5a862c38554299211dda2a9a,bridge,4
5a7509175542993748c897a3,bridge,9
5adc6c4c5542994650320ce0,comparison,2
5ae3e59a5542994393b9e79e,bridge,5
5ae0ba15554299603e41844d,comparison,2
5adecc7755429975fa854f9d,bridge,3
5ab30d1155429976abd1bc3d,bridge,2
5ae819ac55429952e35eaa16,bridge,4
5a7543d555429916b01642ce,bridge,2
5ac170af5542994d76dcce20,comparison,2
5abd0803554299700f9d7979,bridge,2
5a8488f45542992a431d1a47,bridge,2
5ab762fb55429928e1fe3857,bridge,9
5a8f54215542992414482a54,bridge,5
5a89d26b5542992e4fca83d1,bridge,3
5ac4a7615542996feb3fe92a,bridge,2
5a7eb22655429930675135cb,bridge,6
5abd09585542996e802b469b,bridge,3
5a8babf05542996e8ac8899e,comparison,2
5a7f010955429934daa2fc8b,comparison,2
5a7a230e5542996a35c170ee,bridge,9
5ae365205542990afbd1e12d,bridge,4
5ae7936d5542997ec27276a7,bridge,2
5a79f6ca554299029c4b5f90,bridge,4
5adc53f75542996e6852530a,comparison,2
5a81736255429903bc27b96e,bridge,4
5ac3adc35542995ef918c1e2,comparison,2
5ae1ab715542997f29b3c0f7,bridge,2
5ae1d1a55542997f29b3c138,bridge,2
5ab613985542992aa134a418,bridge,2
5ab7ee895542995dae37e9f6,bridge,4
5ac2680055429963665199a8,bridge,3
5ac298f9554299657fa28fc9,comparison,2
5a81f49c5542995ce29dcc9a,bridge,4
5ae234005542994d89d5b392,comparison,2
5a7b9a8a554299042af8f78d,bridge,8
5a83f07455429933447460be,comparison,2
5ae51fa25542992663a4f11f,bridge,5
5a7e355055429934daa2fbf4,bridge,3
5a8d18fb5542994ba4e3dbf2,bridge,2
5a82a1ae55429954d2e2eb89,comparison,2
5add39c45542995b365faac5,comparison,3
5a803d695542996402f6a494,comparison,2
5a7555215542996c70cfaee1,comparison,2
5a83c9445542992ef85e2360,bridge,2
5ae33a3b5542992f92d8224a,bridge,3
5ac37dd6554299218029dbdb,comparison,2
5a8eabf755429917b4a5bdaa,bridge,2
5ae82c3d55429952e35eaa75,bridge,10
5abbf64055429965836003bc,bridge,10
5aba33985542994dbf0198c3,bridge,2
5a858dc85542997b5ce40002,bridge,2
5ab587ad5542992aa134a34b,bridge,2
5a89ab1355429946c8d6e996,comparison,2
5a8d8f77554299068b959d3e,bridge,2
5a73d4385542992d56e7e3b1,bridge,2
5a8790785542993e715abfac,bridge,10
5a79e3555542994bb945712f,comparison,2
5a8d09a955429941ae14df71,bridge,2
5ab97c0255429970cfb8eb1f,bridge,2
5a89761d5542995153361310,bridge,2
5ab28156554299449642c8ce,bridge,7
5a7bacf35542997c3ec9724b,comparison,2
5a8016215542992bc0c4a6a3,bridge,2
5a7a99db55429941d65f26ea,bridge,6
5ab2beba554299166977408f,bridge,2
5a79186f55429907847277af,bridge,2
5a7a7e9f5542994f819ef1f4,bridge,2
5ae53fcb55429960a22e029e,bridge,5
5a81ff1a554299676cceb1c2,bridge,2
5a7c5de155429935c91b5179,bridge,3
5ae0d85d5542990adbacf67e,bridge,2
5ac19b2c55429963665198b6,comparison,2
5a8038b55542996402f6a485,bridge,2
5abbc58455429931dba14502,bridge,5
5ae4075b55429970de88d87a,bridge,5
5a8622ae554299211dda2a7e,bridge,2
5ae17daa55429901ffe4aea9,bridge,10
5ac4f04e5542995c82c4ad81,bridge,2
5a83aaeb5542996488c2e483,bridge,7
5ab6f9335542991d322236fc,comparison,2
5a8333115542993344745feb,bridge,4
5ac322c95542995ef918c117,comparison,2
5ae28b76554299495565daa8,bridge,2
5a7412b655429979e28828a1,bridge,2
5abefbc15542990832d3a117,bridge,9
5ae4cda05542990ba0bbb148,comparison,2
5ae73d505542991e8301cc2c,bridge,2
5ac1b3a75542994ab5c67dd2,bridge,10
5abeafbb5542997ec76fd347,comparison,2
5a843de75542992ef85e23b4,bridge,5
5a8b3c0055429949d91db4f8,comparison,2
5a74a8fa55429929fddd8497,bridge,4
5ab801da5542990e739ec7c9,bridge,2
5ab661ac5542995eadeeffb1,bridge,10
5a886b7555429938390d3f4d,bridge,2
5ae3c0cc5542992f92d82369,bridge,5
5a84c4135542994c784dda31,comparison,2
5a7dedef5542995f4f40231a,bridge,3
5ac38bf355429939154137ba,bridge,2
5a7244955542990c210a408a,bridge,3
5ae3f1fb5542995ad6573cc1,bridge,10
5ade895955429975fa854ef5,bridge,9
5a71419f5542994082a3e70d,bridge,3
5a881d2355429938390d3eeb,bridge,4
5ae4d3a55542990ba0bbb164,bridge,6
5abd0ee65542996e802b46d7,comparison,2
5ab41b8c5542996a3a969f40,bridge,3
5abd0d635542992ac4f381b8,bridge,2
5a8e494e5542995a26add4c8,bridge,2
5adf8ade5542993344016ce8,bridge,2
5a79ced45542994bb94570cb,bridge,4
5ab5d9af554299494045f07e,bridge,7
5a7211e655429971e9dc923c,bridge,4
5a908aaa55429933b8a20545,comparison,2
5ab465095542991751b4d75a,bridge,3
5ae0038655429925eb1afbe0,comparison,2
5a8f6e295542992414482ac6,bridge,3
5ade17d255429939a52fe80e,comparison,2
5ae56a0d5542990ba0bbb29c,bridge,4
5a7e7c725542991319bc94be,bridge,8
5ab5dc44554299494045f089,bridge,2
5abbd34d5542993f40c73bc6,bridge,4
5ae76d185542997ec2727641,bridge,6
5aba725455429901930fa7cc,bridge,3
5adfeab455429942ec259b86,bridge,2
5adfa73b55429942ec259ad8,bridge,2
5a7769a35542993569682d8f,comparison,2
5a7797175542992a6e59df10,bridge,5
5ae54c085542992663a4f1c4,bridge,4
5addfe1c5542995b365fabaf,comparison,2
5a73235c5542994cef4bc475,comparison,2
5ab299d6554299449642c926,comparison,2
5ab9d7e4554299232ef4a21f,bridge,3
5a8b8b3155429949d91db5d7,bridge,2
5a8f7e785542992414482ae6,comparison,3
5ab965bb554299743d22eb56,bridge,2
5a7f3c8f55429930675136c9,bridge,2
5a7a1cd85542990783324e65,bridge,2
5ae13f3c5542997b2ef7d168,bridge,6
5a7b2ec755429927d897bf53,bridge,2
5a7d598d5542995f4f402262,comparison,2
5a735e9155429901807db00d,comparison,2
5ac24d725542996366519966,bridge,2
5a8c90db554299653c1aa0bf,comparison,2
5a7ce100554299683c1c63b5,comparison,2
5ab9debb55429955dce3ed97,bridge,3
5a71380c5542994082a3e68b,bridge,2
5abdd30c5542991f66106052,bridge,2
5a7222b155429971e9dc92c4,comparison,2
5ab926bc554299131ca42285,bridge,2
5ab7867c5542992aa3b8c822,bridge,2
5ae236b2554299495565da3e,bridge,8
5abe6f8455429965af743f03,bridge,2
5a8ac4085542992d82986f74,bridge,3
5adde5155542997dc7907092,bridge,2
5abb17e75542996cc5e49fa2,bridge,2
5adc6f6255429947ff173961,comparison,2
5ab969ca55429970cfb8eac9,bridge,3
5ac292175542996366519a14,bridge,2
5ab9b29c554299743d22ebae,comparison,2
5a89d48c554299515336132e,bridge,7
5a737dc455429908901be2c9,bridge,3
5a845b2d5542996488c2e520,bridge,3
5a8463545542990548d0b2a3,bridge,4
5a7780e855429949eeb29e9f,bridge,9
5a763986554299109176e6bd,bridge,3
5ab93262554299131ca422b6,bridge,4
5ae4957155429970de88d9bc,comparison,2
5a843b045542996488c2e518,bridge,5
5add3b035542997545bbbcce,bridge,2
5ae3281a5542991a06ce9939,comparison,2
5ac3b07055429939154138b8,bridge,3
5adce88b5542992c1e3a249a,bridge,7
5ab41d855542996a3a969f4b,bridge,3
5abdb5b455429965af743dfa,bridge,5
5a8febb555429916514e73e4,bridge,6
5a7a8d15554299042af8f669,bridge,2
5ae2eda355429928c4239570,bridge,2
5a7a8a9c554299042af8f666,bridge,2
5a88ac3d554299206df2b328,bridge,2
5adda7275542995b365fab57,bridge,2
5a865bbf5542991e77181615,bridge,2
5a8e1577554299068b959e54,comparison,2
5ab3f6b9554299753aec5a03,bridge,4
5adf8dd25542993344016cfe,bridge,3
5ae7ef625542994a481bbe40,bridge,5
5a7a9ed55542995eb53be87d,bridge,9
5a8e68b15542995085b3742d,bridge,7
5adfb78f5542995ec70e9081,bridge,2
5adc6e035542994650320cec,bridge,4
5a778cae55429949eeb29eeb,bridge,2
5ab95a63554299743d22eb06,bridge,3
5a7b47765542992d025e67d8,bridge,2
5a72a47d55429901807daf1f,bridge,3
5ae4a2b25542995ad6573de0,bridge,3
5a712c4b5542994082a3e622,bridge,4
5a8c2adc554299240d9c20a9,bridge,2
5a886886554299206df2b258,bridge,2
5ae638865542992ae0d1628c,bridge,6
5a7662745542992db9473786,bridge,5
5ae5621655429908b63265fc,bridge,3
5ab66a3555429954757d3290,bridge,4
5ae2c8b05542992decbdcd9d,bridge,2
5abfdfcb5542997d642958fe,bridge,2
5ae0d5335542990adbacf674,bridge,2
5ab42d5755429942dd415eaf,bridge,3
5abbf43d5542993f40c73c2f,comparison,2
5a7f9cb55542995d8a8ddec1,comparison,2
5ade653f55429975fa854ebb,bridge,3
5ae6097c55429929b0807a9a,bridge,2
5a7280925542991f9a20c4a1,comparison,2
5ade15ae5542990dbb2f7f4c,bridge,4
5a88a1bb5542997e5c09a64c,bridge,2
5a857cf35542994c784ddb1d,bridge,3
5a7f6fd75542992e7d278cfa,bridge,3
5a75ac415542992d0ec05fdb,bridge,10
5a8230af554299676cceb227,comparison,2
5a799dfb5542994bb9457029,bridge,2
5a81624d5542995ce29dcbf1,bridge,3
5a80f793554299260e20a1e1,bridge,3
5adccdd55542992c1e3a2408,bridge,3
5ab92f52554299131ca422a9,bridge,2
5a8315c055429966c78a6b2d,bridge,3
5a89f58f5542992e4fca84af,bridge,3
5a8b63fa55429950cd6afcd7,bridge,6
5ab56f7a554299637185c59a,bridge,9
5ae0d9c555429924de1b719a,bridge,7
5ae5eb0d554299546bf82fd2,bridge,2
5a7f48e15542992e7d278ce6,bridge,5
5abac27855429966062415ff,bridge,2
5abe9f7d5542997ec76fd331,bridge,3
5ae5be86554299546bf82f40,bridge,3
5ae0819155429924de1b70ea,comparison,2
5a8b6efd5542997f31a41d2b,bridge,3
5a8b20335542996c9b8d5fb3,bridge,6
5ab624b855429953192ad26d,bridge,2
5ae376a35542990afbd1e163,comparison,2
5a8704f8554299211dda2ba4,bridge,2
5ae82ae555429952e35eaa71,bridge,2
5a78ce5d55429974737f78ac,bridge,2
5a7d27f05542995ed0d1660d,bridge,2
5ae81b895542997ec272770c,bridge,5
5ab92f1f554299753720f77b,bridge,2
5ab43b9d5542990594ba9bc3,bridge,9
5a838fcd5542992ef85e2305,bridge,7
5a875154554299211dda2be7,bridge,3
5a7c8cea55429935c91b5214,bridge,2
5a7aa9425542992d025e66e4,comparison,2
5a89cc99554299669944a5ae,bridge,3
5a731c205542994cef4bc45d,comparison,2
5a7a5cc955429941d65f25d6,bridge,2
5a7471f655429979e2882955,bridge,2
5a890b895542995153361278,bridge,3
5ae0432a55429924de1b7081,comparison,2
5a863b27554299211dda2ab6,comparison,3
5a8077ca5542992bc0c4a729,bridge,8
5a7e689f55429934daa2fc1c,bridge,2
5a794119554299029c4b5f3c,bridge,2
5aba056255429939ce03dc55,bridge,2
5add21555542992ae4cec496,bridge,2
5a8078d85542995d8a8ddf78,comparison,2
5ae446825542995ad6573d21,bridge,3
5a7369da55429901807db037,bridge,3
5a83880e554299123d8c214e,bridge,2
5a79b495554299148911fa3b,bridge,2
5a7324205542994cef4bc478,comparison,3
5a8e341c5542995085b373d6,comparison,2
5a74bdce55429929fddd84e1,comparison,2
5a88cf7e5542993b751ca85b,bridge,2
5abee4ff5542993fe9a41d7d,bridge,4
5abca6375542993a06baf946,bridge,2
5ab576c4554299637185c5a4,bridge,2
5abcf70b55429959677d6b7e,bridge,3
5a8b05c855429949d91db46a,bridge,2
5a8675b1554299211dda2b44,comparison,8
5a771e0b55429966f1a36c75,bridge,2
5ae616ce5542992663a4f259,bridge,10
5a7b9fac554299294a54aa2f,comparison,3
5ab7022f5542995eadef010e,bridge,2
5a8732505542991e77181713,bridge,2
5a871a5e5542996432c5721e,bridge,2
5a75f32055429976ec32bcb7,bridge,2
5a776bc855429966f1a36d3a,comparison,2
5ae35b035542992e3233c3ae,bridge,2
5ae6d3345542996d980e7c85,bridge,2
5ab97b27554299131ca4233c,comparison,2
5a8026a05542992e7d278df8,bridge,3
5a79332555429907847277e7,comparison,2
5a73471a5542991f9a20c6d7,bridge,2
5abc184a5542993a06baf863,bridge,2
5a8bba645542995e66a474e5,bridge,3
5ae352285542994393b9e685,bridge,4
5abc805a554299658360045b,comparison,2
5aba5ea955429939ce03dca5,bridge,3
5a7252db5542990c210a4104,bridge,2
5ab4071955429976abd1bd38,bridge,2
5ae74fc45542997b22f6a6b4,bridge,10
5a7b116a554299042af8f6c4,bridge,9
5ac259125542992f1f2b3867,bridge,2
5a76244c554299109176e65d,bridge,5
5a78f59755429970f5fffdf8,comparison,2
5a874ce15542996432c57256,bridge,2
5a81a4615542995ce29dcc1e,bridge,2
5ae54b3d5542990ba0bbb260,comparison,2
5abe3abb55429965af743ea1,bridge,8
5abef8fd5542990832d3a111,bridge,3
5a77b6535542995d83181274,bridge,6
5a85ee635542994775f606b4,comparison,3
5ab978855542996be2020512,bridge,10
5a87b93c5542996e4f3088ec,bridge,2
5a9042825542990a984935d6,bridge,2
5adcb6875542994ed6169bcb,comparison,2
5ab6c65e554299710c8d1f58,bridge,2
5abaa954554299232ef4a362,comparison,2
5a820f2c55429926c1cdae17,comparison,3
5a75d9b4554299109176e5a7,bridge,6
5a80ef1555429938b614225e,bridge,3
5abd0553554299700f9d7963,bridge,2
5a8dad37554299068b959d94,comparison,2
5ae0f3b955429920d523424e,comparison,2
5ae830f05542997ec2727758,bridge,2
5a7736bc554299373536021b,bridge,7
5ae077805542993d6555eb6e,comparison,2
5a8900c75542997e5c09a6ed,comparison,2
5ac0d83a554299294b219038,bridge,4
5ae7ba7a5542993210983f12,bridge,3
5ab808b85542991d3222380d,bridge,3
5a73b0975542992d56e7e387,bridge,2
5a84f4c75542997175ce1f31,bridge,2
5ab42b24554299753aec5a43,bridge,3
5ab4fd0b55429942dd415fbb,bridge,2
5abd455c55429924427fcf5a,comparison,3
5a8b452655429971feec468e,bridge,2
5ab4396555429942dd415eed,bridge,2
5ac1c73e55429964131be28a,bridge,2
5a78d16455429974737f78bb,comparison,2
5a7ddc5a5542995f4f4022da,bridge,2
5a7b086a5542992d025e673a,bridge,5
5a712e895542994082a3e636,bridge,4
5ab58f9a554299488d4d99da,bridge,8
5ab72c7d55429928e1fe3830,bridge,2
5a809fe75542996402f6a5ba,bridge,4
5abbfb5e554299114383a0d0,bridge,9
5a7949d45542994bb9456fdd,bridge,2
5a8aa1685542992d82986f32,bridge,2
5a7526945542993748c897d2,bridge,4
5a85c3225542992a431d1b95,bridge,2
5a7cefcf55429909bec768af,bridge,2
5a80aeff5542996402f6a5eb,bridge,4
5a72a9ab5542992359bc315a,bridge,3
5a84e61b5542997b5ce3ff86,bridge,2
5ae52bc75542992663a4f12d,bridge,2
5ae1f48d554299234fd0436b,bridge,4
5ae7fde25542994a481bbe66,bridge,2
5adf3a0d5542992d7e9f92e8,bridge,6
5a714de95542994082a3e7a8,bridge,2
5ae762985542995703ce8c04,bridge,6
5ae614215542992663a4f254,bridge,2
5a7723fa55429966f1a36ca0,comparison,2
5a7ca55b55429907fabeefe0,bridge,5
5a88a35c554299206df2b316,bridge,7
5ab56b9b5542997d4ad1f113,bridge,4
5a8f7a7055429918e830d230,bridge,4
5a716ec85542994082a3e82d,bridge,2
5a7cb9b95542990527d55515,bridge,2
5a8341c255429954d2e2ec6e,bridge,6
5ae72a975542991e8301cb75,bridge,4
5ae0ba9055429924de1b715c,bridge,3
5a72a6d855429901807daf27,bridge,2
5ac3b62b554299741d48a2f6,bridge,3
5adf099a5542992d7e9f927f,comparison,4
5a82f05255429966c78a6aa2,bridge,3
5a8e82ff5542995a26add4e2,bridge,4
5abc2e1c554299700f9d7806,bridge,2
5a73cf5e55429978a71e909f,bridge,2
5a7327265542994cef4bc480,bridge,2
5a7cdf89554299683c1c63b0,bridge,3
5a8e41735542995085b37406,bridge,3
5abbe4c0554299642a094bc0,bridge,2
5abbd4035542993f40c73bcb,bridge,8
5ac10832554299012d1db687,bridge,2
5a7633ff5542994ccc918712,bridge,6
5ab259b25542993be8fa98de,bridge,2
5ab8829d55429934fafe6e08,bridge,4
5ae327e05542992f92d82220,bridge,2
5adfa8d0554299025d62a32c,bridge,2
5a77bdcb5542997042120b0b,comparison,2
5ab84de95542990e739ec8b4,bridge,2
5a8b515e55429971feec46bb,bridge,4
5ae0c9dd5542993d6555ec69,comparison,2
5ac43e0f554299076e296d8e,comparison,4
5abb342055429966062416e8,bridge,2
5a8f21c755429918e830d195,comparison,2
5ab5ec795542997d4ad1f252,bridge,2
